,name,typ_0,typ_1,x,y
1508,"Ambulancia zubného lekárstva, MUDr. Elena Zábavníková, Košice-Západ, (Ortozab s.r.o.)",ambulancia zubného lekárstva,ambulancia zubného lekárstva,21.232165,48.7203291
1509,"Ambulancia zubného lekárstva, MUDR. Mária Piešová, Košice-Staré Mesto, (PIEDENT s.r.o.)",ambulancia zubného lekárstva,ambulancia zubného lekárstva,21.2448795,48.7231731
1510,"Ambulancia zubného lekárstva, MUDr. Katarína Psotková, Košice-Sever, (KP Dental s.r.o.)",ambulancia zubného lekárstva,ambulancia zubného lekárstva,21.2404772,48.7298319
1511,"Ambulancia zubného lekárstva 1, Košice-Staré Mesto, (Akadémia Košice, n.o.)",ambulancia zubného lekárstva,ambulancia zubného lekárstva,21.2514016,48.7257072
1512,"Ambulancia zubného lekárstva 2, Košice-Staré Mesto, (Akadémia Košice, n.o.)",ambulancia zubného lekárstva,ambulancia zubného lekárstva,21.2514016,48.7257072
1513,"Ambulancia zubného lekárstva 3, Košice-Staré Mesto, (Akadémia Košice, n.o.)",ambulancia zubného lekárstva,ambulancia zubného lekárstva,21.2514016,48.7257072
1514,"Ambulancia zubného lekárstva 4, Košice-Staré Mesto, (Akadémia Košice, n.o.)",ambulancia zubného lekárstva,ambulancia zubného lekárstva,21.2514016,48.7257072
1515,"Ambulancia zubného lekárstva 5, Košice-Staré Mesto, (Akadémia Košice, n.o.)",ambulancia zubného lekárstva,ambulancia zubného lekárstva,21.2514016,48.7257072
1516,"Ambulancia zubného lekárstva 6, Košice-Staré Mesto, (Akadémia Košice, n.o.)",ambulancia zubného lekárstva,ambulancia zubného lekárstva,21.2514016,48.7257072
1517,"Ambulancia zubného lekárstva 7, Košice-Staré Mesto, (Akadémia Košice, n.o.)",ambulancia zubného lekárstva,ambulancia zubného lekárstva,21.2514016,48.7257072
1518,"Ambulancia zubného lekárstva 8, Košice-Staré Mesto, (Akadémia Košice, n.o.)",ambulancia zubného lekárstva,ambulancia zubného lekárstva,21.2514016,48.7257072
