ObjectId,pasport,sl_,elektricka,trolejbus,autobus,mestska_cast,zastavka_nazov,zastavka_smer,x,y
72,24,2,False,True,True,Košice - Západ,Diamantová,smer od Hodonínskej,21.2217693328857,48.713020324707
73,25,1,False,False,True,Košice - Nad jazerom,Dneperská,smer Levočská,21.2842006683349,48.6867904663085
74,25,2,False,False,True,Košice - Nad jazerom,Dneperská,smer od Levočskej,21.284439086914,48.686408996582
75,25,4,True,False,False,Košice - Nad jazerom,Dneperská,smer Levočská,21.2845497131347,48.6867294311523
76,25,5,True,False,False,Košice - Nad jazerom,Dneperská,smer Ladožská,21.2845001220703,48.6866912841796
77,26,1,False,False,True,Košice - Sever,Dolný Bankov,smer Čermeľ,21.2077293395996,48.7473716735839
78,26,2,False,False,True,Košice - Sever,Dolný Bankov,smer Horný Bankov,21.2075901031494,48.7474212646484
79,27,1,True,False,False,Košice - Staré Mesto,Dom umenia,smer Nám. osloboditeľov,21.2545890808105,48.716438293457
80,27,2,False,False,True,Košice - Staré Mesto,Dom umenia,"smer Alžbetina, Rek.UPJŠ",21.2533206939697,48.7172508239746
81,27,3,True,False,False,Košice - Staré Mesto,Dom umenia,smer od Nám. osloboditeľov,21.2548503875732,48.7163581848144
82,27,4,False,True,True,Košice - Juh,Dom umenia,smer Nám. osloboditeľov,21.2550601959228,48.7161483764648
83,27,5,False,False,True,Košice - Juh,Dom umenia,smer Slovenská televízia,21.2536602020263,48.7157516479492
84,27,6,False,False,True,Košice - Staré Mesto,Dom umenia,smer Krajský súd(Timonova ul.),21.2533206939697,48.7172508239746
85,28,1,False,False,True,Košice - Vyšné Opátske,Školy pre telesne postihnutých,smer V úvoze,21.2820205688476,48.7057609558105
86,28,2,False,False,True,Košice - Vyšné Opátske,Školy pre telesne postihnutých,smer BPMK,21.281509399414,48.7060012817382
87,29,1,False,False,True,Košice - Západ,DP mesta Košice,smer od Stodolovej,21.2364997863769,48.7041091918945
88,29,2,False,False,True,Košice - Západ,DP mesta Košice,smer Stodolova,21.2365608215332,48.704418182373
89,29,3,True,False,False,Košice - Západ,DP mesta Košice,smer Spoloč. pavilón,21.237060546875,48.7148208618164
90,29,4,True,False,False,Košice - Západ,DP mesta Košice,konečná,21.2374305725097,48.7052307128906
91,30,1,False,False,True,Košice - Sídlisko KVP,Drabova,smer od Kremnickej,21.2182292938232,48.7098503112792
92,30,2,False,False,True,Košice - Sídlisko KVP,Drabova,smer Kremnická,21.217960357666,48.7098388671875
93,31,1,False,False,True,Košice - Sever,Ďumbierska,smer Podhradová,21.2452907562255,48.7514610290527
94,32,1,False,False,True,Košice - Dargovských hrdinov,Exnárova,smer Polilinika Východ,21.2841300964355,48.7412681579589
95,32,2,False,False,True,Košice - Dargovských hrdinov,Exnárova,konečná,21.2839107513427,48.7400512695312
96,33,1,False,False,True,Košice - Šaca,EZ Elektrosystémy,smer CPR,21.2124900817871,48.6343688964843
97,34,1,False,True,True,Košice - Dargovských hrdinov,Fábryho,smer Kalinovská,21.2805194854736,48.7423706054687
98,34,2,False,True,True,Košice - Dargovských hrdinov,Fábryho,smer Poliklinika Východ,21.2803401947021,48.742088317871
99,35,1,False,False,True,Košice - Krásna,Golianova,smer Pri Hornáde,21.3034896850585,48.672119140625
100,35,2,False,False,True,Košice - Nad jazerom,Golianova,smer Važecká,21.3033008575439,48.6724395751953
101,36,1,False,True,True,Košice - Myslava,Grunt,smer Myslava - Pri škole,21.2038898468017,48.7104187011718
102,36,2,False,True,True,Košice - Myslava,Grunt,smer Myslava - kostol,21.2040500640869,48.7101097106933
103,36,3,False,True,True,Košice - Myslava,Grunt,smer Moskovská,21.2055206298828,48.7096099853515
104,36,4,False,True,True,Košice - Myslava,Grunt,konečná,21.2045402526855,48.7094192504882
105,37,1,False,False,True,Košice - Vyšné Opátske,Gymnázium Opatovská,smer Ovsená,21.2779693603515,48.7169113159179
106,37,2,False,False,True,Košice - Vyšné Opátske,Gymnázium Opatovská,smer Viničná,21.2777309417724,48.7165184020996
107,38,1,False,False,True,Košice - Pereš,Haburská,smer Pereš,21.2075500488281,48.6916885375976
108,38,2,False,False,True,Košice - Pereš,Haburská,smer Revúcka,21.2074108123779,48.6917304992675
109,39,1,False,False,True,Košice - Juh,Hala Cassosport,smer Blšák,21.2476692199707,48.6972694396972
110,39,2,False,False,True,Košice - Juh,Hala Cassosport,konečná,21.2474193572998,48.6971282958984
111,39,3,False,False,True,Košice - Juh,Hala Cassosport,smer OC Cassovia,21.2474193572998,48.6971282958984
112,39,4,False,False,True,Košice - Juh,Hala Cassosport,smer OC Cassovia(od OC Optima),21.2475109100341,48.6969490051269
113,40,1,False,False,True,Košice - Sídlisko Ťahanovce,Hanojská,smer od Belehradskej,21.2702293395996,48.7611389160156
114,40,2,False,False,True,Košice - Sídlisko Ťahanovce,Hanojská,smer Belehradská,21.2703304290771,48.7606201171875
115,41,1,False,False,True,Košice - Barca,Hečkova,"smer od Barca, kostoly",21.2660408020019,48.674388885498
116,41,2,False,False,True,Košice - Barca,Hečkova,"smer Barca, kostoly",21.2681007385253,48.6745414733886
117,41,3,False,False,True,Košice - Barca,Hečkova,smer od Barca - SJP II,21.2699108123779,48.6751403808593
118,41,4,False,False,True,Košice - Barca,Hečkova,smer Barca - SJP II,21.2698307037353,48.6744003295898
119,42,1,False,False,True,Košice - Staré Mesto,Hlavná pošta,smer Slov. rozhlas,21.2497196197509,48.7219810485839
120,42,2,False,False,True,Košice - Staré Mesto,Hlavná pošta,"smer Považská, Nová nemocnica",21.2483406066894,48.7218284606933
121,42,4,True,False,True,Košice - Staré Mesto,Hlavná pošta,smer Radnica Starého mesta,21.2492904663085,48.7216606140136
122,42,5,True,False,True,Košice - Staré Mesto,Hlavná pošta,smer Krajský súd,21.2493705749511,48.7214012145996
123,43,3,False,True,True,Košice - Sídlisko Ťahanovce,"Tesco, Džungľa",smer Pri hati,21.2640705108642,48.7425308227539
124,43,4,False,True,True,Košice - Džungľa,"Tesco, Džungľa",smer od Hati,21.2640495300292,48.7423782348632
125,44,1,False,True,True,Košice - Džungľa,Trolejbusová,"smer Džungľa,Tesco",21.2657604217529,48.7404594421386
126,44,2,False,True,True,Košice - Džungľa,Trolejbusová,konečná,21.2686901092529,48.7391891479492
127,45,1,False,False,True,Košice - Západ,Hodonínska,smer Hronská,21.2267398834228,48.7140083312988
128,45,2,False,False,True,Košice - Západ,Hodonínska,smer Žilinská,21.2268295288085,48.712890625
129,45,3,False,True,True,Košice - Západ,Hodonínska,smer Magistrát mesta Košice,21.2277507781982,48.7132110595703
130,45,4,False,True,True,Košice - Západ,Hodonínska,smer Diamantová,21.2256507873535,48.7136001586914
131,46,1,False,False,True,Košice - Sever,Horný Bankov,smer Dolný Bankov,21.2107791900634,48.7448806762695
